ID_CLIENT;AGE;BUDGET_MAX;MOTO_ACTUELLE;STYLE_DESIRE;DOULEUR_CLIENT;MOTS_CLES_IA
C-00069;55;6 900 €;BMW NineT;Cyber-Punk 90s;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00070;26;6 000 €;Suzuki SV 650;Café Racer Sportif;Interdit de rouler en ville avec ma vieille moto (ZFE).;NOSTALGIE
C-00071;26;7 000 €;Suzuki SV 650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00072;20;7 400 €;Honda Hornet;Sportive Vintage;Les designs 'Manga' vieillissent mal.;COULEUR_VINTAGE
C-00073;20;6 400 €;Kawasaki Z900;Replica Bol d'Or;Trop de plastique, pas assez de carénage.;DESIR_90S
C-00074;50;8 300 €;Honda Hornet;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00075;44;7 000 €;Yamaha MT-07;Sportive Vintage;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00076;32;7 300 €;Honda CB500F;Sportive Vintage;Les motos neuves manquent d'âme.;NOSTALGIE
C-00077;25;9 500 €;Yamaha MT-07;Replica Bol d'Or;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00078;27;9 400 €;Honda CB500F;Replica Bol d'Or;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00079;53;9 600 €;Yamaha XSR 700;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00080;50;10 700 €;Honda CB500F;Sportive Vintage;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00081;38;9 000 €;BMW NineT;Cyber-Punk 90s;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00082;38;8 700 €;Honda CB500F;Sportive Vintage;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00083;55;10 000 €;Suzuki SV 650;Scrambler 80s;Interdit de rouler en ville avec ma vieille moto (ZFE).;NOSTALGIE
C-00084;31;7 600 €;BMW NineT;Sportive Vintage;Trop de plastique, pas assez de carénage.;COULEUR_VINTAGE
C-00085;40;7 900 €;Suzuki SV 650;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00086;52;10 200 €;BMW NineT;Replica Bol d'Or;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00087;36;6 400 €;Yamaha XSR 700;Scrambler 80s;Je déteste le phare avant insecte.;LOOK_CARRE
C-00088;34;10 500 €;Kawasaki Z900;Sportive Vintage;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00089;40;6 800 €;Honda CB500F;Sportive Vintage;Je déteste le phare avant insecte.;DESIR_90S
C-00090;34;8 000 €;Suzuki SV 650;Cyber-Punk 90s;Je déteste le phare avant insecte.;DESIR_90S
C-00091;22;6 500 €;Honda Hornet;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00092;42;8 900 €;Yamaha MT-07;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;FIABILITE_MODERNE
C-00093;23;7 100 €;Kawasaki Z650;Cyber-Punk 90s;Les motos neuves manquent d'âme.;NOSTALGIE
C-00094;44;7 900 €;Yamaha MT-07;Scrambler 80s;Je déteste le phare avant insecte.;NOSTALGIE
C-00095;55;6 600 €;Kawasaki Z900;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00096;35;6 300 €;Honda Hornet;Cyber-Punk 90s;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00097;41;10 000 €;Yamaha XSR 700;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;REJET_MANGA
C-00098;31;10 400 €;BMW NineT;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00099;43;9 000 €;BMW NineT;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00100;22;10 100 €;Suzuki SV 650;Sportive Vintage;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00101;34;6 500 €;Honda Hornet;Sportive Vintage;Trop de plastique, pas assez de carénage.;DESIR_90S
C-00102;48;8 300 €;BMW NineT;Café Racer Sportif;Je déteste le phare avant insecte.;FIABILITE_MODERNE
C-00103;49;8 000 €;Honda CB500F;Cyber-Punk 90s;Trop de plastique, pas assez de carénage.;FIABILITE_MODERNE
C-00104;46;11 000 €;Honda Hornet;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00105;54;8 100 €;Yamaha MT-07;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00106;34;10 700 €;Honda Hornet;Néo-Rétro 90s;Je déteste le phare avant insecte.;BUDGET_SERRE
C-00107;32;7 400 €;BMW NineT;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;REJET_MANGA
C-00108;46;6 800 €;Kawasaki Z650;Sportive Vintage;Les motos neuves manquent d'âme.;DESIR_90S
C-00109;52;8 400 €;Kawasaki Z650;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00110;25;8 100 €;Kawasaki Z650;Café Racer Sportif;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00111;34;10 800 €;Suzuki SV 650;Sportive Vintage;Les designs 'Manga' vieillissent mal.;FIABILITE_MODERNE
C-00112;53;8 300 €;Kawasaki Z900;Café Racer Sportif;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00113;55;7 400 €;BMW NineT;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00114;43;7 200 €;Honda Hornet;Cyber-Punk 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;LOOK_CARRE
C-00115;25;9 200 €;Yamaha XSR 700;Replica Bol d'Or;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00116;29;8 200 €;BMW NineT;Scrambler 80s;Je veux des couleurs flashy (Violet/Rose).;DESIR_90S
C-00117;27;6 900 €;Suzuki SV 650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;LOOK_CARRE
C-00118;20;10 300 €;BMW NineT;Scrambler 80s;Les motos neuves manquent d'âme.;NOSTALGIE
C-00119;37;8 100 €;Kawasaki Z900;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00120;26;8 500 €;BMW NineT;Sportive Vintage;Les motos neuves manquent d'âme.;LOOK_CARRE
C-00121;43;10 300 €;BMW NineT;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00122;28;11 000 €;BMW NineT;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00123;52;10 000 €;Kawasaki Z900;Sportive Vintage;Trop de plastique, pas assez de carénage.;DESIR_90S
C-00124;39;6 500 €;Yamaha XSR 700;Cyber-Punk 90s;Je veux le look d'avant mais la fiabilité de maintenant.;REJET_MANGA
C-00125;53;10 000 €;BMW NineT;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;BUDGET_SERRE
C-00126;47;8 600 €;BMW NineT;Café Racer Sportif;Interdit de rouler en ville avec ma vieille moto (ZFE).;REJET_MANGA
C-00127;22;7 800 €;Yamaha MT-07;Cyber-Punk 90s;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00128;39;7 500 €;Honda CB500F;Cyber-Punk 90s;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00129;54;7 300 €;Honda Hornet;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00130;30;7 500 €;Yamaha XSR 700;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00131;43;8 700 €;Honda CB500F;Sportive Vintage;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00132;21;8 100 €;BMW NineT;Café Racer Sportif;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00133;35;9 900 €;Yamaha XSR 700;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;NOSTALGIE
C-00134;54;8 900 €;Kawasaki Z650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00135;25;8 500 €;Honda Hornet;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00136;45;7 900 €;BMW NineT;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00137;25;9 800 €;BMW NineT;Café Racer Sportif;Trop de plastique, pas assez de carénage.;LOOK_CARRE
C-00138;31;7 400 €;Honda CB500F;Sportive Vintage;Je déteste le phare avant insecte.;LOOK_CARRE
C-00139;25;7 900 €;Honda Hornet;Replica Bol d'Or;Interdit de rouler en ville avec ma vieille moto (ZFE).;LOOK_CARRE
C-00140;48;8 300 €;Suzuki SV 650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00141;46;10 300 €;Yamaha MT-07;Cyber-Punk 90s;Je déteste le phare avant insecte.;BUDGET_SERRE
C-00142;47;8 900 €;Honda CB500F;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;LOOK_CARRE
C-00143;37;7 600 €;Yamaha MT-07;Cyber-Punk 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00144;24;6 800 €;Honda Hornet;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;LOOK_CARRE
C-00145;41;10 400 €;Kawasaki Z900;Café Racer Sportif;Interdit de rouler en ville avec ma vieille moto (ZFE).;LOOK_CARRE
C-00146;41;7 100 €;Yamaha MT-07;Sportive Vintage;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00147;42;9 200 €;Honda CB500F;Scrambler 80s;Interdit de rouler en ville avec ma vieille moto (ZFE).;FIABILITE_MODERNE
C-00148;48;6 200 €;Honda CB500F;Replica Bol d'Or;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00149;43;8 000 €;Honda CB500F;Sportive Vintage;Les motos neuves manquent d'âme.;REJET_MANGA
C-00150;40;10 500 €;Honda Hornet;Sportive Vintage;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00151;46;7 700 €;Yamaha XSR 700;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00152;54;6 100 €;BMW NineT;Néo-Rétro 90s;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00153;47;7 800 €;Yamaha XSR 700;Café Racer Sportif;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00154;22;6 500 €;Yamaha XSR 700;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;REJET_MANGA
C-00155;21;9 500 €;Yamaha XSR 700;Sportive Vintage;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00156;40;7 300 €;Honda CB500F;Replica Bol d'Or;Je déteste le phare avant insecte.;LOOK_CARRE
C-00157;47;6 200 €;BMW NineT;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;REJET_MANGA
C-00158;48;10 500 €;Kawasaki Z650;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;LOOK_CARRE
C-00159;53;9 300 €;Honda Hornet;Replica Bol d'Or;Je déteste le phare avant insecte.;REJET_MANGA
C-00160;45;7 700 €;Yamaha MT-07;Sportive Vintage;Les motos neuves manquent d'âme.;FIABILITE_MODERNE
C-00161;47;8 300 €;BMW NineT;Café Racer Sportif;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00162;31;6 900 €;Kawasaki Z650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;NOSTALGIE
C-00163;38;6 900 €;Yamaha MT-07;Cyber-Punk 90s;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00164;55;8 000 €;Kawasaki Z650;Cyber-Punk 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;NOSTALGIE
C-00165;50;6 800 €;Kawasaki Z650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00166;24;10 600 €;Honda Hornet;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;FIABILITE_MODERNE
C-00167;23;6 500 €;Suzuki SV 650;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;FIABILITE_MODERNE
C-00168;27;10 600 €;Yamaha XSR 700;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;NOSTALGIE
C-00169;21;6 100 €;BMW NineT;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00170;51;6 400 €;Suzuki SV 650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00171;52;6 900 €;Yamaha XSR 700;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;REJET_MANGA
C-00172;35;10 700 €;Honda CB500F;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00173;53;7 800 €;Honda CB500F;Sportive Vintage;Les designs 'Manga' vieillissent mal.;LOOK_CARRE
C-00174;55;6 200 €;Kawasaki Z900;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00175;24;7 100 €;Honda Hornet;Néo-Rétro 90s;Les motos neuves manquent d'âme.;NOSTALGIE
C-00176;34;8 200 €;Yamaha XSR 700;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00177;38;6 200 €;Yamaha MT-07;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;LOOK_CARRE
C-00178;34;8 600 €;Yamaha MT-07;Scrambler 80s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00179;32;8 600 €;Kawasaki Z900;Café Racer Sportif;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00180;45;10 000 €;Yamaha XSR 700;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;NOSTALGIE
C-00181;20;10 300 €;Honda CB500F;Replica Bol d'Or;Je veux des couleurs flashy (Violet/Rose).;BUDGET_SERRE
C-00182;39;9 900 €;Yamaha XSR 700;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;NOSTALGIE
C-00183;38;10 200 €;Yamaha MT-07;Néo-Rétro 90s;Les motos neuves manquent d'âme.;NOSTALGIE
C-00184;30;6 300 €;Honda CB500F;Cyber-Punk 90s;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00185;33;9 100 €;Yamaha XSR 700;Néo-Rétro 90s;Trop de plastique, pas assez de carénage.;COULEUR_VINTAGE
C-00186;45;7 700 €;BMW NineT;Sportive Vintage;Trop de plastique, pas assez de carénage.;LOOK_CARRE
C-00187;25;10 200 €;Kawasaki Z900;Sportive Vintage;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00188;20;8 600 €;Yamaha MT-07;Scrambler 80s;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00189;48;9 300 €;BMW NineT;Scrambler 80s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00190;41;6 800 €;BMW NineT;Sportive Vintage;Je veux des couleurs flashy (Violet/Rose).;COULEUR_VINTAGE
C-00191;55;6 800 €;Honda CB500F;Scrambler 80s;Les motos neuves manquent d'âme.;LOOK_CARRE
C-00192;54;10 500 €;Yamaha XSR 700;Cyber-Punk 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;LOOK_CARRE
C-00193;29;6 100 €;Yamaha MT-07;Café Racer Sportif;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00194;41;8 100 €;Yamaha MT-07;Cyber-Punk 90s;Je déteste le phare avant insecte.;REJET_MANGA
C-00195;38;9 900 €;Kawasaki Z900;Sportive Vintage;Les motos neuves manquent d'âme.;BUDGET_SERRE
C-00196;32;9 400 €;BMW NineT;Néo-Rétro 90s;Les motos neuves manquent d'âme.;REJET_MANGA
C-00197;28;8 000 €;Suzuki SV 650;Néo-Rétro 90s;Je veux des couleurs flashy (Violet/Rose).;REJET_MANGA
C-00198;44;8 200 €;Honda Hornet;Néo-Rétro 90s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00199;40;10 400 €;Honda Hornet;Néo-Rétro 90s;Interdit de rouler en ville avec ma vieille moto (ZFE).;LOOK_CARRE
C-00200;45;10 700 €;Honda CB500F;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;LOOK_CARRE
C-00201;28;9 800 €;Honda CB500F;Sportive Vintage;Trop de plastique, pas assez de carénage.;BUDGET_SERRE
C-00202;51;6 300 €;Honda CB500F;Scrambler 80s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00203;50;10 400 €;Honda CB500F;Sportive Vintage;Je veux le look d'avant mais la fiabilité de maintenant.;COULEUR_VINTAGE
C-00204;48;9 200 €;Suzuki SV 650;Café Racer Sportif;Je veux le look d'avant mais la fiabilité de maintenant.;REJET_MANGA
C-00205;20;9 900 €;BMW NineT;Néo-Rétro 90s;Je déteste le phare avant insecte.;FIABILITE_MODERNE
C-00206;46;10 200 €;Honda Hornet;Néo-Rétro 90s;Je veux le look d'avant mais la fiabilité de maintenant.;FIABILITE_MODERNE
C-00207;45;9 200 €;Yamaha XSR 700;Sportive Vintage;Les designs 'Manga' vieillissent mal.;NOSTALGIE
C-00208;47;11 000 €;Yamaha XSR 700;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;BUDGET_SERRE
C-00209;38;8 600 €;Honda CB500F;Cyber-Punk 90s;Les designs 'Manga' vieillissent mal.;DESIR_90S
C-00210;42;7 500 €;Kawasaki Z650;Sportive Vintage;Les designs 'Manga' vieillissent mal.;COULEUR_VINTAGE
C-00211;24;6 700 €;Yamaha MT-07;Néo-Rétro 90s;Les motos neuves manquent d'âme.;COULEUR_VINTAGE
C-00212;28;8 300 €;Suzuki SV 650;Cyber-Punk 90s;Je veux le look d'avant mais la fiabilité de maintenant.;DESIR_90S
C-00213;24;10 900 €;Honda Hornet;Néo-Rétro 90s;Les designs 'Manga' vieillissent mal.;BUDGET_SERRE
C-00214;41;7 100 €;Honda Hornet;Scrambler 80s;Je veux le look d'avant mais la fiabilité de maintenant.;LOOK_CARRE
C-00215;48;10 900 €;Honda Hornet;Sportive Vintage;Interdit de rouler en ville avec ma vieille moto (ZFE).;COULEUR_VINTAGE
C-00216;54;9 000 €;Suzuki SV 650;Scrambler 80s;Les motos neuves manquent d'âme.;LOOK_CARRE
